s,p,o
ex:coin_5770,nmo:hasIssuer,ex:issuer_33
ex:coin_5770,nmo:hasIssuer,ex:issuer_48
ex:coin_5770,nmo:hasPortrait,ex:person_107
ex:person_107,ex:hasPossibleIssuers,ex:issuer_33
ex:person_107,ex:hasPossibleIssuers,ex:issuer_52
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_4
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_129
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_155
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_156
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48
ex:person_176,ex:hasPossibleIssuers,ex:issuer_33
ex:person_4,ex:hasPossibleIssuers,ex:issuer_48
ex:person_4,ex:hasPossibleIssuers,ex:issuer_52
ex:person_4,ex:hasPossibleIssuers,ex:issuer_53
ex:person_4,ex:hasPossibleIssuers,ex:issuer_288
ex:person_129,ex:hasPossibleIssuers,ex:issuer_48
ex:person_129,ex:hasPossibleIssuers,ex:issuer_53
ex:person_129,ex:hasPossibleIssuers,ex:issuer_58
ex:person_155,ex:hasPossibleIssuers,ex:issuer_48
ex:person_155,ex:hasPossibleIssuers,ex:issuer_53
ex:person_156,ex:hasPossibleIssuers,ex:issuer_48
ex:coin_8562,nmo:hasIssuer,ex:issuer_48
ex:coin_8562,nmo:hasIssuer,ex:issuer_52
ex:coin_8562,nmo:hasPortrait,ex:person_107
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_4
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_5
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_107
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_108
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_109
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_153
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_154
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_169
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_185
ex:person_5,ex:hasPossibleIssuers,ex:issuer_52
ex:person_5,ex:hasPossibleIssuers,ex:issuer_53
ex:person_108,ex:hasPossibleIssuers,ex:issuer_52
ex:person_108,ex:hasPossibleIssuers,ex:issuer_53
ex:person_109,ex:hasPossibleIssuers,ex:issuer_52
ex:person_109,ex:hasPossibleIssuers,ex:issuer_53
ex:person_109,ex:hasPossibleIssuers,ex:issuer_55
ex:person_153,ex:hasPossibleIssuers,ex:issuer_52
ex:person_154,ex:hasPossibleIssuers,ex:issuer_52
ex:person_169,ex:hasPossibleIssuers,ex:issuer_52
ex:person_185,ex:hasPossibleIssuers,ex:issuer_52
ex:coin_6249,nmo:hasIssuer,ex:issuer_52
ex:coin_6249,nmo:hasIssuer,ex:issuer_53
ex:coin_6249,nmo:hasPortrait,ex:person_5
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_4
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_5
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_108
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_109
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_112
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_114
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_116
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_117
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_129
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_155
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_183
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_184
